title,cluster
The Guardians of the Galaxy Holiday Special,1
All the President's Men,0
Lars and the Real Girl,1
Paperman,1
Funny Games,3
Dancer in the Dark,3
Clifford the Big Red Dog,2
When Marnie Was There,1
Whatever Works,1
Double Indemnity,1
Nebraska,3
The Count of Monte Cristo,3
Man on the Moon,1
Beasts of No Nation,0
Violent Night,1
Friday,4
The Magnificent Seven,4
Tootsie,4
Star Trek First Contact,1
Frequency,3
In the Name of the Father,3
Take Shelter,0
Anomalisa,0
Scoob!,1
Rebecca,3
Crimson Tide,3
#Alive,1
A Separation,1
Emma.,1
Volver,4
Ip Man 3,1
Do the Right Thing,1
The Tale of The Princess Kaguya,4
Rounders,3
Lolita,4
Ong-Bak,3
The Color Purple,0
Doubt,3
"Paris, Texas",1
Midnight Express,3
The Guilty,3
From Up on Poppy Hill,2
Capernaum,0
The Hours,1
Detroit,3
Suffragette,1
Pleasantville,1
Chungking Express,0
Sense and Sensibility,1
Network,4
Precious,0
Clue,3
It's Only the End of the World,1
Barton Fink,1
Heathers,0
Descendants 2,1
The Angry Birds Movie 2,2
The Conversation,2
Philomena,4
The Wailing,2
Strangers on a Train,4
Fear Street 1666,0
The Great Mouse Detective,4
The Maltese Falcon,1
The Last Emperor,1
Ruby Sparks,1
Miller's Crossing,0
La Vie en Rose,3
Trumbo,1
Rebel Without a Cause,1
Lady Vengeance,2
Sideways,0
Mississippi Burning,3
Witness,3
The Phantom of the Opera,3
SupermanShazam! The Return of Black Adam,2
In the Mouth of Madness,3
Batman Under the Red Hood,2
Braindead,3
Little White Lies,1
Hocus Pocus 2,1
The Dead Zone,3
"Batman The Dark Knight Returns, Part 1",1
Wild at Heart,3
Jacob's Ladder,3
Lady and the Tramp,4
A Beautiful Day in the Neighborhood,1
Infernal Affairs,1
Bonnie and Clyde,1
Luck,1
Race,1
Glory,0
Eye in the Sky,3
The Social Dilemma,0
The Gold Rush,0
The Animatrix,2
mid90s,1
Driving Miss Daisy,4
Notorious,1
Deliverance,0
Dead Man,0
The Zookeeper's Wife,1
Following,0
Only the Brave,1
Burning,0
On the Waterfront,1
Bowling for Columbine,0
No Hard Feelings,1
The Ten Commandments,2
Who Am I,3
The Night of the Hunter,3
All About Eve,4
The Half of It,1
Animal House,2
Frankenstein,0
Eighth Grade,0
Air,4
Dope,1
A Prophet,4
National Lampoon's Vacation,1
Neon Genesis Evangelion The End of Evangelion,0
Descendants 3,2
Hotel Mumbai,0
The Cabinet of Dr. Caligari,2
My Cousin Vinny,1
The Guardian,1
Ran,0
Jane Eyre,1
The Straight Story,0
To Catch a Thief,0
A Dog's Journey,1
Justice League Dark Apokolips War,2
Audition,3
The Boy and the Beast,1
Pink Floyd The Wall,0
United 93,2
Angel Heart,3
The Killing,1
Y Tu Mamá También,3
Judas and the Black Messiah,3
"Batman The Dark Knight Returns, Part 2",1
Before the Devil Knows You're Dead,4
DC League of Super-Pets,2
EverAfter,1
The Hundred-Foot Journey,4
Star Trek IV The Voyage Home,2
King Kong,2
I Want to Eat Your Pancreas,1
Sisu,0
Marrowbone,1
Ghosted,1
Submarine,4
Where the Crawdads Sing,3
Deep Red,4
Stepmom,1
Field of Dreams,1
The Big Blue,0
Re-Animator,3
Boruto Naruto the Movie,2
Palmer,1
The Art of Racing in the Rain,1
Mother,3
Fahrenheit 911,0
The Man Who Knew Infinity,1
Woman in Gold,1
Dog,1
Brain on Fire,0
Malcolm & Marie,3
Touch of Evil,0
Song of the Sea,2
A Street Cat Named Bob,4
Boy Erased,0
Mortal Kombat Legends Scorpion's Revenge,2
Land of Mine,0
Mustang,1
Delicatessen,3
Fresh,1
The Light Between Oceans,1
Leaving Las Vegas,3
High Noon,0
Tolkien,1
Kill Your Darlings,0
Elizabeth,3
The Farewell,1
American Graffiti,4
I See You,3
Ghost World,4
This Is Spinal Tap,1
After Hours,4
Sympathy for Mr. Vengeance,0
The Mission,1
The Doors,1
Murder on the Orient Express,2
Tell No One,0
The Hurricane,3
Yojimbo,0
Cool Hand Luke,4
Fatherhood,1
A League of Their Own,2
The Sea Beast,0
Out of Africa,4
Blow Out,3
Ring,0
Across the Universe,3
Blood Simple,1
The Searchers,0
The Girl Who Kicked the Hornet's Nest,3
The Traitor,1
A Streetcar Named Desire,4
A Whisker Away,0
The Man Who Knew Too Much,4
Belfast,1
Charade,4
Hamilton,0
The Book of Henry,1
Witness for the Prosecution,3
First Reformed,3
My Life as a Zucchini,2
Pride,4
Fright Night,0
Midnight Cowboy,3
Christiane F.,2
The Fisher King,1
Over the Moon,2
Fried Green Tomatoes,1
Boys Don't Cry,0
Once,1
My Name Is Khan,3
Short Term 12,1
They Call Me Trinity,4
The Outsiders,0
Boyka Undisputed IV,1
Free Solo,1
Amistad,0
The Wicker Man,3
Suburra,3
Glengarry Glen Ross,1
Fruitvale Station,3
Mission Impossible - Dead Reckoning Part One,1
The Remains of the Day,1
Manhunter,3
